cod0001;Babycat 34;0.4;98.92;164.00; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0002;Babycat 34;2;332.63;553.00; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0003;Kitten 36;0.4;88.66;147.33; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0004;Kitten 36;2;296.24;492.27; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0005;Kitten 36;7.5;840.16;1396.12; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0006;Indoor longhair;2;267.38;444.31; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0007;Indoor 7+;0.4;83.59;138.91; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0008;Indoor 7+;2;297.46;494.31; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0009;Indoor 7+;7.5;962.29;1599.08; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0010;Fit 32;0.4;72.87;121.09; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0011;Fit 33;2;246.48;409.58; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0012;Fit 34;7.5;821.74;1365.51; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0013;Fit 35;15;1476.73;2453.92; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0014;Active 7+;2;295.05;490.29; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0015;Ageing +12;0.4;97.65;162.28; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0016;Ageing +12;2;334.89;556.50; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0017;Exigent 35/30;0.4;84.66;140.68; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0018;Exigent 35/30;2;302.74;503.07; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0019;Sensible 33;0.4;83.59;138.91; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0020;Sensible 33;2;297.38;494.16; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0021;Sensible 33;7.5;962.29;1599.08; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0022;Persian 30;1.5;245.71;408.29; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0023;Persian 30;7.5;942.51;1566.21; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0024;FBN Siamese 38;1.5;245.71;408.29; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0025;FBN Siamese 38;7.5;942.51;1566.21; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0026;FHN INSTINCTIVE (12x85g);1.02;301.53;501.06; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0027;FHN INTENSE BEAUTY (12x85g);1.02;301.53;501.06; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0028;Light;0.4;97.52;162.06; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0029;Light;1.5;243.05;403.89; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0030;Light;7.5;851.42;1414.84; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0031;HAIR & SKIN CARE;2;307.97;511.76; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0032;HAIRBALL CARE;1.5;249.39;414.41; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0033;DIGESTIVE CARE;2;307.89;511.63; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0034;Urinary Care;0.4;78.76;130.88; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0035;Urinary Care;1.5;189.37;314.69; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0036;Urinary Care;7.5;658.99;1095.05; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0037;Gatos Castrados-Young Male;1.5;210.75;382.49; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0038;Gatos Castrados-Young Male;3.5;449.16;839.65; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0039;Gatos Castrados-Young Female;1.5;210.75;393.96; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0040;Gatos Castrados-Young Female;3.5;449.16;839.65; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0041;Gatos Castrados-Weight Control;1.5;210.75;393.96; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0042;Gatos Castrados-Weight Control;3;381.77;713.66; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0043;Gatos Castrados-Weight Control;7.5;738.62;1380.75; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0044;Gatos Castrados-Weight Control;12;1113.14;2080.85; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0045;Mature Consult-Stage1;1.5;233.08;435.71; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0046;Mature Consult-Stage1;3.5;479.97;897.23; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0047;Senior Consult-Stage2;1.5;233.08;435.71; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0048;Senior Consult-Stage2;3;429.63;803.14; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0049;Hypoallergenic;2;345.90;646.60; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0050;Calm Cat;2;299.54;559.95; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0051;Gastrointestinal Cat;2;278.64;520.87; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0052;Gastro Intestinal Moderate Calorie Cat;2;299.60;560.05; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0053;Fibre Response Cat;2;299.60;560.06; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0054;Obesity;1.5;219.97;411.21; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0055;Urinary S/O High Dilution;0.4;80.97;151.37; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0056;Urinary S/O High Dilution;1.5;220.55;412.29; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0057;Urinary S/O High Dilution;7.5;755.43;1412.16; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0058;Satiety Feline;2;253.31;473.52; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0059;Renal;2;266.74;498.62; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0060;Diabetic Feline;1.5;253.21;473.35; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0061;Hepatic;1.5;210.76;393.98; ROYAL CANIN ; Alimentos ; Felinos ; MARVEM SRL 
cod0062;X- Small Junior;1;140.53;227.45; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0063;X- Small Adulto;1;133.83;216.62; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0064;Starter Mini;1;140.84;227.96; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0065;Starter Mini;3;308.61;499.51; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0066;Mini Junior;1;128.52;208.02; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0067;Mini Junior;3;280.01;453.21; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0068;Mini Junior;7.5;653.45;1057.67; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0069;Mini Junior;15;1306.35;2114.43; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0070;Mini Adult;1;112.46;182.02; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0071;Mini Adult;3;255.80;414.03; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0072;Mini Adult;7.5;652.51;1056.13; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0073;Mini Indoor;1;129.83;210.13; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0074;Mini Indoor;3;294.46;476.60; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0075;Mini Adult 8+;1;122.70;198.60; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0076;Mini Adult 8+;3;264.75;428.52; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0077;Mini Ageing +12;1;125.99;203.92; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0078;Mini Ageing +12;3;271.72;439.79; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0079;Mini Weight Care;1;135.88;219.93; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0080;Mini Weight Care;3;286.08;463.04; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0081;Mini Dermacomfort;1;144.68;234.17; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0082;Mini Dermacomfort;3;307.51;497.73; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0083;Starter Medium;3;283.44;458.77; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0084;Medium Junior;1;105.45;170.67; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0085;Medium Junior;3;261.99;424.04; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0086;Medium Junior;15;938.34;1518.77; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0087;Medium Adult;3;213.32;345.28; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0088;Medium Adult;7.5;476.99;772.05; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0089;Medium Adult;15;874.13;1414.84; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0090;Medium  Adult 7+;3;212.56;344.04; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0091;Medium  Adult 7+;15;905.70;1465.95; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0092;Medium Ageing 10+;15;929.96;1505.21; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0093;Medium Weight Care;3;235.25;380.76; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0094;Medium Weight Care;15;958.86;1551.99; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0095;Medium Dermacomfort;3;264.37;427.90; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0096;Medium Dermacomfort;15;1066.29;1725.86; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0097;Starter Maxi;10;730.42;1182.24; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0098;Maxi Junior;1;105.45;170.67; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0099;Maxi Junior;3;266.53;431.39; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0100;Maxi Junior;15;959.36;1552.79; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0101;Maxi Adult;3;254.70;412.25; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0102;Maxi Adult;15;921.44;1491.41; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0103;Maxi Adult 5+;15;951.70;1540.40; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0104;Maxi Ageing 8+;15;994.96;1610.42; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0105;Maxi Weight Care;3;282.21;456.77; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0106;Maxi Weight Care;15;1026.51;1661.47; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0107;Maxi Dermacomfort;15;1098.57;1778.12; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0108;Starter Giant;10;757.18;1225.55; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0109;Giant Puppy;1;105.45;170.67; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0110;Giant Puppy;15;1090.29;1764.71; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0111;Giant Junior;15;1090.29;1764.71; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0112;Giant Adult;15;930.22;1505.63; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0113;Chihuahua Adulto;0.8;113.90;189.26; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0114;Yorkshire Terrier Junior;0.8;125.60;208.71; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0115;Yorkshire Terrier Junior;2.5;283.84;471.67; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0116;Yorkshire Terrier Adulto;1;142.09;236.12; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0117;Yorkshire Terrier Adulto;3;347.64;577.68; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0118;Caniche Junior;0.8;125.60;208.71; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0119;Caniche Junior;2.5;283.84;471.67; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0120;Caniche Adulto;1;142.09;236.12; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0121;Caniche Adulto;3;347.64;577.68; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0122;Caniche Adulto;7.5;820.93;1364.16; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0123;Dachshund Adulto;3;347.64;577.68; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0124;Schnauzer Miniature;3;347.64;577.68; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0125;Bulldog Franc‚s Adulto;3;347.64;577.68; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0126;Bulldog Adulto;12;899.46;1494.66; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0127;Ovejero Alem n Junior;12;935.86;1555.15; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0128;Ovejero Alem n Adulto;12;899.46;1494.66; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0129;Labrador Retriever Junior;12;935.86;1555.15; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0130;Labrador Retriever Adulto;12;899.46;1494.66; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0131;Boxer Junior;12;935.86;1555.15; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0132;Boxer Adulto;12;899.46;1494.66; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0133;Golden Retriever Junior;12;935.85;1555.14; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0134;Golden Retriever Adulto;12;899.46;1494.66; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0135;Hypoallergenic;2;244.35;456.77; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0136;Hypoallergenic;10;963.52;1801.16; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0137;Hypoallergenic;15;1273.96;2381.48; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0138;Hypoallergenic Small Dog;2;270.54;505.74; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0139;Calm Dog;2;233.90;437.25; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0140;Skin Care Adult Dog;2;211.87;396.06; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0141;Skin Care Adult Dog;10;820.91;1534.57; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0142;Gastrointestinal Jr. Dog;2;229.77;429.52; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0143;Gastrointestinal Dog;2;211.24;394.89; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0144;Gastrointestinal Dog;10;820.34;1533.51; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0145;Gastrointestinal Moderate Calorie Dog;10;816.30;1525.96; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0146;Cardiac;2;211.16;394.74; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0147;Cardiac;10;821.10;1534.94; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0148;Obesity;1.5;165.76;309.85; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0149;Obesity;7.5;668.86;1250.34; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0150;Obesity;15;1163.09;2174.23; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0151;Satiety Support;1.5;165.70;309.75; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0152;Satiety Support;7.5;707.33;1322.24; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0153;Satiety Support;15;1144.12;2138.77; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0154;Renal;2;211.42;395.21; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0155;Renal;10;819.76;1532.43; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0156;Mobility Support;2;210.75;393.98; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0157;Mobility Support;10;822.37;1537.31; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0158;Mobility Larger Dogs;15;1140.23;2131.49; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0159;Hepatic;2;211.37;395.12; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0160;Hepatic;10;822.51;1537.56; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0161;Urinary;2;199.64;373.19; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0162;Urinary;10;769.75;1438.94; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0163;Diabetic Canine;2;211.37;395.12; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0164;Diabetic Canine;10;821.10;1534.94; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
